timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
345516330224977,加速度计,2.6576,5.5929,8.6257,,,,,,,
345516330234404,陀螺仪,,,,,,,,0.9854,-0.2152,0.6633
345516340247946,加速度计,2.6875,5.6874,8.1361,,,,,,,
345516350274300,加速度计,2.3463,5.5713,7.4687,,,,,,,
345516350268623,陀螺仪,,,,,,,,0.7726,-0.1368,0.5035
345516360263154,加速度计,2.8329,5.1799,7.4065,,,,,,,
345516370253623,加速度计,3.0562,4.6418,7.6980,,,,,,,
345516370249717,陀螺仪,,,,,,,,0.4671,0.2827,0.3847
345516380246956,加速度计,3.2202,4.7262,8.4054,,,,,,,
345516390244144,加速度计,3.1945,5.3061,8.9723,,,,,,,
345516400245758,加速度计,2.6354,6.1310,9.3960,,,,,,,
345516390244144,陀螺仪,,,,,,,,0.3987,0.5557,0.2585
345516410251175,加速度计,3.6009,7.3041,9.9383,,,,,,,
345516410267165,陀螺仪,,,,,,,,0.4416,0.6477,0.1816
345516420293988,加速度计,2.4594,7.9146,9.9300,,,,,,,
345516430348571,加速度计,2.6923,9.1051,9.3248,,,,,,,
345516430376331,陀螺仪,,,,,,,,0.3963,0.3437,0.1603
345516440403988,加速度计,2.3984,9.3458,8.8921,,,,,,,
345516450460081,陀螺仪,,,,,,,,0.0433,0.2166,0.1096
345516450445863,加速度计,2.3583,8.1265,8.3917,,,,,,,
345516460469404,加速度计,3.2022,6.1980,9.2781,,,,,,,
345516470488154,加速度计,2.0698,6.0663,7.6776,,,,,,,
345516470497581,陀螺仪,,,,,,,,-0.0945,-0.4313,0.2710
345516480506904,加速度计,2.6767,6.0370,6.8247,,,,,,,
345516490525654,加速度计,1.9333,7.6956,7.3041,,,,,,,
345516490535081,陀螺仪,,,,,,,,-0.1029,-0.7477,0.6503
345516500544404,加速度计,3.0358,8.1367,7.5980,,,,,,,
345516510572581,陀螺仪,,,,,,,,0.2783,-0.7273,0.8691
345516510563154,加速度计,2.6181,7.4807,6.6930,,,,,,,
345516520581904,加速度计,2.9257,6.4949,6.4392,,,,,,,
345516530610081,陀螺仪,,,,,,,,0.8661,-0.6735,1.0124
345516530600654,加速度计,2.4379,7.7201,7.5567,,,,,,,
345516540619404,加速度计,4.1198,5.9388,7.1389,,,,,,,
345516550647581,陀螺仪,,,,,,,,1.4878,0.1260,0.8176
345516550638154,加速度计,3.9534,5.2265,6.4021,,,,,,,
345516560656904,加速度计,4.3539,5.7341,7.1425,,,,,,,
345516570685081,陀螺仪,,,,,,,,0.7160,-0.2778,0.2099
345516570675654,加速度计,0.2436,8.3845,14.0366,,,,,,,
345516580694404,加速度计,5.1439,6.3931,4.0660,,,,,,,
345516602328252,GPS,,,,31.9405,118.7893,0.1600,192.6000,,,
345516590714613,加速度计,3.1777,6.6924,5.8065,,,,,,,
345516590723415,陀螺仪,,,,,,,,0.0806,0.6425,0.0053
345516600732113,加速度计,2.6558,7.3849,7.2472,,,,,,,
345516610749613,加速度计,2.4924,7.3191,8.4898,,,,,,,
345516610758415,陀螺仪,,,,,,,,0.3475,0.9674,0.1330
345516620767113,加速度计,2.9521,6.9581,9.4122,,,,,,,
345516630784613,加速度计,3.2669,6.3883,9.6726,,,,,,,
345516630793415,陀螺仪,,,,,,,,1.0404,0.0711,0.1075
345516640802113,加速度计,3.4081,6.0537,9.1447,,,,,,,
345516650819613,加速度计,3.2711,6.0735,8.5000,,,,,,,
345516650828415,陀螺仪,,,,,,,,1.5790,-0.4846,0.0933
345516660837998,加速度计,3.0580,6.5248,8.0134,,,,,,,
345516670862738,加速度计,2.6959,6.9911,7.2125,,,,,,,
345516670872790,陀螺仪,,,,,,,,1.7541,-0.8878,0.1728
345516680882113,加速度计,2.5067,7.3298,6.1549,,,,,,,
345516690900863,加速度计,2.4828,7.5765,5.3050,,,,,,,
345516690910290,陀螺仪,,,,,,,,1.5574,-1.1408,0.2802
345516700919613,加速度计,2.7593,7.6237,4.6340,,,,,,,
345516710938363,加速度计,2.9616,7.6836,4.0492,,,,,,,
345516710947790,陀螺仪,,,,,,,,1.1585,-1.0243,0.3250
345516720957113,加速度计,2.8126,8.0248,3.5584,,,,,,,
345516730975863,加速度计,3.0795,8.2061,3.5793,,,,,,,
345516730985290,陀螺仪,,,,,,,,0.8184,-0.8294,0.3546
345516740994613,加速度计,3.3890,7.7267,3.2435,,,,,,,
345516751013363,加速度计,4.1180,6.7738,3.2675,,,,,,,
345516761032113,加速度计,4.3826,5.8921,3.5225,,,,,,,
345516751022790,陀螺仪,,,,,,,,0.6878,-0.2148,0.4317
345516771050863,加速度计,4.3209,5.6647,4.0247,,,,,,,
345516771060290,陀螺仪,,,,,,,,0.7069,0.4410,0.5466
345516781069613,加速度计,4.2258,6.6439,4.1617,,,,,,,
345516791088363,加速度计,3.8457,8.4001,3.3543,,,,,,,
345516791097790,陀螺仪,,,,,,,,0.5951,0.8537,0.5100
345516801107113,加速度计,3.3890,10.5333,2.5139,,,,,,,
345516811125863,加速度计,3.0777,12.0770,2.0405,,,,,,,
345516811135290,陀螺仪,,,,,,,,-0.3895,2.1702,0.5914
345516821144613,加速度计,2.2871,12.2176,2.3822,,,,,,,
345516831163363,加速度计,2.6857,10.9972,4.6896,,,,,,,
345516831172790,陀螺仪,,,,,,,,-1.8027,2.8592,0.9364
345516841182113,加速度计,3.2004,9.0225,6.7103,,,,,,,
345516851200863,加速度计,3.6434,7.2664,7.8446,,,,,,,
345516851210290,陀螺仪,,,,,,,,-2.3898,1.6887,1.1966
345516861219613,加速度计,3.9738,6.2979,8.2480,,,,,,,
345516871238363,加速度计,4.2335,6.1537,7.9080,,,,,,,
345516871247790,陀螺仪,,,,,,,,-2.1344,0.3583,1.2268
345516881257113,加速度计,4.1174,6.2082,6.9665,,,,,,,
345516891275863,加速度计,4.0929,6.0651,6.2770,,,,,,,
345516891285290,陀螺仪,,,,,,,,-1.6305,0.4398,1.0980
345516901294613,加速度计,3.9367,5.8233,6.2363,,,,,,,
345516911313623,加速度计,3.8020,5.5671,6.4715,,,,,,,
345516911326383,陀螺仪,,,,,,,,-1.0551,0.8418,0.9642
345516921334040,加速度计,3.7038,5.0482,6.5763,,,,,,,
345516931349456,加速度计,3.7314,4.3772,6.3722,,,,,,,
345516931357217,陀螺仪,,,,,,,,-0.4125,0.7867,0.8690
345516941364873,加速度计,3.9720,3.5674,6.1363,,,,,,,
345516951380550,加速度计,4.0342,2.8264,6.0184,,,,,,,
345516951388571,陀螺仪,,,,,,,,-0.1113,0.7132,0.8344
345516961396644,加速度计,4.0444,3.0245,6.4566,,,,,,,
345516971413154,加速度计,3.5931,4.0606,6.9486,,,,,,,
345516971421592,陀螺仪,,,,,,,,-0.0838,0.3360,0.6292
345516981430081,加速度计,3.2214,4.7016,7.0641,,,,,,,
345516991447425,加速度计,3.1226,4.5484,6.5859,,,,,,,
345516991456279,陀螺仪,,,,,,,,-0.0264,-0.5860,0.2787
345517001465185,加速度计,3.3249,3.8978,6.0047,,,,,,,
345517011483363,加速度计,3.5285,2.7533,5.4606,,,,,,,
345517011492633,陀螺仪,,,,,,,,0.0097,-0.7823,0.0860
345517021501956,加速度计,3.7242,1.5598,5.1697,,,,,,,
345517031520967,加速度计,3.8271,0.9020,4.9817,,,,,,,
345517031530654,陀螺仪,,,,,,,,0.0334,-0.5180,0.0120
345517041540394,加速度计,3.4614,0.6967,4.2964,,,,,,,
345517051560238,加速度计,3.3764,0.9870,4.2000,,,,,,,
345517051570342,陀螺仪,,,,,,,,-0.0796,-0.0774,-0.0146
345517061580498,加速度计,3.2896,1.5862,4.7387,,,,,,,
345517071601175,加速度计,3.2938,1.8806,5.5791,,,,,,,
345517071611696,陀螺仪,,,,,,,,-0.1698,0.9077,-0.0585
345517081622269,加速度计,3.4399,1.7142,7.2269,,,,,,,
345517091643519,加速度计,3.6087,1.0187,8.8992,,,,,,,
345517101664769,加速度计,3.6314,0.2101,9.9952,,,,,,,
345517091654196,陀螺仪,,,,,,,,-0.0274,1.6679,-0.1012
345517111686019,加速度计,3.5823,-0.3148,10.7853,,,,,,,
345517111696696,陀螺仪,,,,,,,,0.1053,1.2952,-0.2559
345517121707269,加速度计,3.3836,-0.3681,11.0612,,,,,,,
345517131727217,加速度计,3.1065,0.4848,10.9720,,,,,,,
345517131736800,陀螺仪,,,,,,,,-0.0088,0.0336,-0.6878
345517141746123,加速度计,2.6779,1.5664,10.4734,,,,,,,
345517151764873,加速度计,2.7037,3.1807,10.0940,,,,,,,
345517161786488,加速度计,2.1093,4.2114,9.7600,,,,,,,
345517151774873,陀螺仪,,,,,,,,-0.3262,-0.6573,-1.1699
345517171808935,加速度计,2.5247,4.3916,9.9784,,,,,,,
345517171809873,陀螺仪,,,,,,,,-0.6718,-0.3410,-1.3991
345517181810863,加速度计,2.5708,3.7984,10.0509,,,,,,,
345517191813727,加速度计,2.8928,3.1101,10.0485,,,,,,,
345517191815654,陀螺仪,,,,,,,,-0.8153,-0.3128,-1.3440
345517201818102,加速度计,2.9293,2.8617,9.7139,,,,,,,
345517211824404,加速度计,2.8581,3.2615,9.4894,,,,,,,
345517211828310,陀螺仪,,,,,,,,-0.9858,-0.1939,-1.2689
345517221833050,加速度计,2.5025,4.8040,9.7971,,,,,,,
345517231844456,加速度计,2.7695,15.2636,9.2404,,,,,,,
345517231851123,陀螺仪,,,,,,,,-1.2117,0.2220,-1.2461
345517241858779,加速度计,1.9315,16.8624,9.8623,,,,,,,
345517251876019,加速度计,4.8297,16.9731,9.6875,,,,,,,
345517251885602,陀螺仪,,,,,,,,-0.5731,-0.0240,-0.4742
345517261896175,加速度计,4.7160,12.9508,9.1566,,,,,,,
345517271918988,加速度计,4.6112,9.4367,9.2063,,,,,,,
345517281944300,加速度计,4.0905,7.3143,9.2332,,,,,,,
345517271931227,陀螺仪,,,,,,,,0.6506,-0.2890,0.3734
345517291971852,加速度计,2.3876,8.1331,9.1165,,,,,,,
345517291986279,陀螺仪,,,,,,,,0.8843,-0.6185,0.2404
345517302001227,加速度计,1.7089,10.5686,8.4497,,,,,,,
345517312031748,加速度计,1.5401,11.3096,7.5340,,,,,,,
345517312047269,陀螺仪,,,,,,,,0.3276,-0.7610,-0.1698
345517322062842,加速度计,2.0261,10.8547,7.4442,,,,,,,
345517332094092,加速度计,3.0370,9.6295,8.4168,,,,,,,
345517332108727,陀螺仪,,,,,,,,0.1505,0.4523,0.0168
345517342120133,加速度计,3.5686,7.9320,9.1429,,,,,,,
345517352140446,加速度计,3.7457,6.2441,10.4112,,,,,,,
345517352149873,陀螺仪,,,,,,,,0.3822,1.6263,0.6629
345517362159196,加速度计,3.9427,5.0039,11.5095,,,,,,,
345517372177946,加速度计,3.7212,4.0911,11.8399,,,,,,,
345517372187373,陀螺仪,,,,,,,,0.4712,0.9943,1.2883
345517382196696,加速度计,3.4949,3.1921,11.9417,,,,,,,
345517392215446,加速度计,3.4333,2.1596,12.0009,,,,,,,
345517402234196,加速度计,3.4770,0.9673,12.1536,,,,,,,
345517392224873,陀螺仪,,,,,,,,0.2277,-0.2611,1.2538
345517412254248,加速度计,3.4872,-0.3029,11.6298,,,,,,,
345517412265967,陀螺仪,,,,,,,,0.0752,-1.2607,0.5778
345517422272998,加速度计,3.3357,-1.3288,10.3884,,,,,,,
345517432287165,加速度计,3.3932,-1.6831,8.9094,,,,,,,
345517432294300,陀螺仪,,,,,,,,-0.1888,-1.6982,-0.2573
345517442301331,加速度计,3.3303,-1.6795,7.8123,,,,,,,
345517452315810,加速度计,3.2130,-1.3264,7.5292,,,,,,,
345517452323258,陀螺仪,,,,,,,,-0.7545,-1.1979,-0.8089
345517462330706,加速度计,3.0604,-1.0499,7.7446,,,,,,,
345517472346331,加速度计,2.9251,-0.9685,7.6231,,,,,,,
345517472354508,陀螺仪,,,,,,,,-1.0446,-0.8697,-0.9914
345517482362790,加速度计,2.6348,-0.9158,7.4166,,,,,,,
345517492380081,加速度计,2.5660,-0.7709,7.3777,,,,,,,
345517502398206,加速度计,2.4355,-0.4447,7.4765,,,,,,,
345517492389092,陀螺仪,,,,,,,,-0.9779,-0.6193,-0.8807
345517512417165,加速度计,2.4361,-0.2747,7.5471,,,,,,,
345517512427008,陀螺仪,,,,,,,,-0.5336,-0.5838,-0.7794
345517522436956,加速度计,2.7683,-0.1616,7.5609,,,,,,,
345517532457581,加速度计,2.7994,0.2837,7.2969,,,,,,,
345517532468154,陀螺仪,,,,,,,,0.0866,-0.6759,-0.8763
345517542478727,加速度计,2.6731,1.2809,7.0300,,,,,,,
345517552500290,加速度计,2.2422,3.1011,6.7606,,,,,,,
345517562522269,加速度计,1.6394,4.7429,6.1022,,,,,,,
345517552511279,陀螺仪,,,,,,,,0.5159,-1.0575,-1.0669
345517572544352,加速度计,1.4599,5.6868,4.7914,,,,,,,
345517572555446,陀螺仪,,,,,,,,0.7296,-1.8598,-1.1597
345517582566435,加速度计,1.4688,5.8233,3.2100,,,,,,,
345517592600654,陀螺仪,,,,,,,,0.5822,-1.5188,-0.9940
345517592592477,加速度计,1.7370,5.4821,2.1081,,,,,,,
345517613136585,GPS,,,,31.9405,118.7893,0.1700,231.5000,,,
345517602608727,加速度计,1.9830,5.1805,1.8316,,,,,,,
345517612624977,加速度计,2.2314,5.1781,1.9980,,,,,,,
